antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Indomie Kari Ayam,Molto,0.2108,0.2143,0.0482,0.22865275142314992,1.0669750416385904,1.0,0.0030255600000000035,1.0186073800738007,0.07953744850081924,0.1278853807375962,0.018267470310741923,0.22678554510028237
Molto,Indomie Kari Ayam,0.2143,0.2108,0.0482,0.22491833877741485,1.0669750416385904,1.0,0.0030255600000000035,1.0182152919927754,0.07989175812249782,0.1278853807375962,0.017889430787398457,0.22678554510028237
Aqua,Indomie Kari Ayam,0.2121,0.2108,0.0498,0.23479490806223477,1.1138278371073755,1.0,0.005089319999999994,1.0313574861367838,0.12970577576201478,0.13347627981774324,0.03040409029680028,0.23551889615635457
Indomie Kari Ayam,Aqua,0.2108,0.2121,0.0498,0.23624288425047438,1.1138278371073755,1.0,0.005089319999999994,1.0316106832298138,0.1294921195170951,0.13347627981774324,0.03064206656996366,0.23551889615635457
Indomie Kari Ayam,Momogi,0.2108,0.2144,0.0457,0.2167931688804554,1.0111621682857062,1.0,0.0005044800000000016,1.0030556026650514,0.013987518590689894,0.12042160737812911,0.0030462943997650255,0.21497307697754114
Momogi,Indomie Kari Ayam,0.2144,0.2108,0.0457,0.21315298507462685,1.0111621682857062,1.0,0.0005044800000000016,1.0029903971547125,0.014051616180973097,0.12042160737812911,0.0029814813413923747,0.21497307697754114
Indomie Kari Ayam,Good Day,0.2108,0.2124,0.0464,0.22011385199240988,1.036317570585734,1.0,0.001626079999999995,1.00989099756691,0.044405508852264054,0.12314225053078555,0.00979412391113493,0.21928479793594127
Good Day,Indomie Kari Ayam,0.2124,0.2108,0.0464,0.21845574387947267,1.0363175705857337,1.0,0.001626079999999995,1.0097956626506024,0.04449571811351802,0.12314225053078555,0.009700638468667868,0.21928479793594127
Indomie Kari Ayam,Djarum,0.2108,0.2128,0.0495,0.23481973434535106,1.103476195231913,1.0,0.004641760000000009,1.0287771853688779,0.11882023478576972,0.132317562149158,0.027972223507813854,0.23371625815011915
Djarum,Indomie Kari Ayam,0.2128,0.2108,0.0495,0.23261278195488724,1.103476195231913,1.0,0.004641760000000009,1.0284247397428046,0.11912211546357908,0.132317562149158,0.027639105366050756,0.23371625815011915
"Indomie Kari Ayam, Djarum",Molto,0.0495,0.2143,0.0115,0.23232323232323232,1.084102810654374,1.0,0.0008921499999999995,1.0234776315789473,0.08161837019417693,0.04558065794688863,0.022939076394593774,0.14299316072531193
"Indomie Kari Ayam, Molto",Djarum,0.0482,0.2128,0.0115,0.23858921161825725,1.1211899042211337,1.0,0.0012430400000000008,1.0338702997275204,0.11356423070246772,0.04609218436873747,0.03276068549067233,0.14631528250085796
"Molto, Djarum",Indomie Kari Ayam,0.0471,0.2108,0.0115,0.2441613588110403,1.1582607154223925,1.0,0.0015713199999999993,1.044138202247191,0.1433902001669959,0.04667207792207792,0.04227237558418693,0.1493577192537175
Indomie Kari Ayam,"Molto, Djarum",0.2108,0.0471,0.0115,0.05455407969639469,1.1582607154223925,1.0,0.0015713199999999993,1.0078841946813848,0.17313294695784387,0.04667207792207792,0.007822520407592284,0.1493577192537175
Djarum,"Indomie Kari Ayam, Molto",0.2128,0.0482,0.0115,0.05404135338345865,1.1211899042211337,1.0,0.0012430400000000008,1.0061750620963734,0.13731000353481804,0.04609218436873747,0.006137164723112679,0.14631528250085796
Molto,"Indomie Kari Ayam, Djarum",0.2143,0.0495,0.0115,0.05366308912739151,1.084102810654374,1.0,0.0008921499999999995,1.0043991617357002,0.09873776361151225,0.04558065794688863,0.004379893874162555,0.14299316072531193
"Aqua, Molto",Indomie Kari Ayam,0.0473,0.2108,0.011,0.2325581395348837,1.103216980715767,1.0,0.0010291599999999995,1.028351515151515,0.09820510129106744,0.04451639012545528,0.027569867631631655,0.14237015136136974
"Aqua, Indomie Kari Ayam",Molto,0.0498,0.2143,0.011,0.22088353413654618,1.0307211112298003,1.0,0.000327860000000001,1.00845,0.03136755898279798,0.043461082576056895,0.0083791957955278,0.13610672273789512
"Molto, Indomie Kari Ayam",Aqua,0.0482,0.2121,0.011,0.22821576763485477,1.0759819313288768,1.0,0.0007767799999999995,1.020881182795699,0.07419243920609749,0.04412354592860007,0.020454077465230047,0.14003904836245332
Aqua,"Molto, Indomie Kari Ayam",0.2121,0.0482,0.011,0.051862329090051854,1.0759819313288765,1.0,0.0007767799999999995,1.0038626553953256,0.08962604852946261,0.04412354592860007,0.0038477926981002877,0.14003904836245332
Molto,"Aqua, Indomie Kari Ayam",0.2143,0.0498,0.011,0.05132991133924405,1.0307211112298003,1.0,0.000327860000000001,1.0016126906050173,0.03793490460157139,0.043461082576056895,0.0016100940215155245,0.13610672273789512
Indomie Kari Ayam,"Aqua, Molto",0.2108,0.0473,0.011,0.05218216318785579,1.1032169807157672,1.0,0.0010291599999999995,1.005150950950951,0.11855043081601616,0.04451639012545528,0.005124554621450392,0.14237015136136974
"Indomie Kari Ayam, Djarum",Momogi,0.0495,0.2144,0.0114,0.2303030303030303,1.074174581637268,1.0,0.0007872,1.0206614173228346,0.07264874442814032,0.04514851485148515,0.02024316484601614,0.14173733604703753
"Indomie Kari Ayam, Momogi",Djarum,0.0457,0.2128,0.0114,0.24945295404814008,1.1722413254141921,1.0,0.001675040000000001,1.0488349854227406,0.15396975095183213,0.04613516794819911,0.04656117130099097,0.15151219130978433
"Djarum, Momogi",Indomie Kari Ayam,0.0468,0.2108,0.0114,0.24358974358974358,1.155549068262541,1.0,0.0015345600000000008,1.043349152542373,0.1412196037723348,0.04630381803411861,0.04154807854757171,0.14883471999221526
Indomie Kari Ayam,"Djarum, Momogi",0.2108,0.0468,0.0114,0.05407969639468691,1.155549068262541,1.0,0.0015345600000000008,1.0076958876629891,0.17056579614266287,0.04630381803411861,0.0076371132969858474,0.14883471999221526
Djarum,"Indomie Kari Ayam, Momogi",0.2128,0.0457,0.0114,0.053571428571428575,1.1722413254141921,1.0,0.001675040000000001,1.0083169811320756,0.1866531165311654,0.04613516794819911,0.008248379515276724,0.15151219130978433
Momogi,"Indomie Kari Ayam, Djarum",0.2144,0.0495,0.0114,0.05317164179104478,1.074174581637268,1.0,0.0007872,1.0038778325123154,0.0878979526208597,0.04514851485148515,0.003862853015302235,0.14173733604703753
"Indomie Kari Ayam, Momogi",Good Day,0.0457,0.2124,0.0102,0.22319474835886216,1.0508227323863566,1.0,0.0004933200000000002,1.013896338028169,0.05068081932552967,0.041145623235175476,0.01370587653486815,0.13560867361445933
"Indomie Kari Ayam, Good Day",Momogi,0.0464,0.2144,0.0102,0.21982758620689657,1.025315234173958,1.0,0.00025184000000000144,1.006956906077348,0.025891564679563245,0.0407023144453312,0.006908841913055712,0.13370110653628411
"Momogi, Good Day",Indomie Kari Ayam,0.0493,0.2108,0.0102,0.20689655172413796,0.9814826931885103,1.0,-0.00019243999999999858,0.9950782608695652,-0.01945886478495534,0.04081632653061225,-0.004946082458010683,0.12764182424916576
Indomie Kari Ayam,"Momogi, Good Day",0.2108,0.0493,0.0102,0.048387096774193554,0.9814826931885103,1.0,-0.00019243999999999858,0.9990406779661016,-0.023347908588400128,0.04081632653061225,-0.0009602432163736643,0.12764182424916576
Momogi,"Indomie Kari Ayam, Good Day",0.2144,0.0464,0.0102,0.04757462686567164,1.0253152341739578,1.0,0.00025184000000000144,1.0012333006856022,0.031428457329979016,0.0407023144453312,0.0012317815285986195,0.13370110653628411
Good Day,"Indomie Kari Ayam, Momogi",0.2124,0.0457,0.0102,0.0480225988700565,1.0508227323863566,1.0,0.0004933200000000002,1.002439762611276,0.06140770172975236,0.041145623235175476,0.0024338246568757216,0.13560867361445933
"Indomie Kari Ayam, Djarum",Good Day,0.0495,0.2124,0.0103,0.20808080808080806,0.9796648214727309,1.0,-0.0002138000000000001,0.994545918367347,-0.021371558234497382,0.04093799682034976,-0.005483991771447366,0.1282871083718541
"Indomie Kari Ayam, Good Day",Djarum,0.0464,0.2128,0.0103,0.22198275862068967,1.0431520611874514,1.0,0.00042608000000000056,1.0118027700831025,0.04337981364436052,0.0413820811570912,0.01166508971124197,0.1351925071298937
"Djarum, Good Day",Indomie Kari Ayam,0.0467,0.2108,0.0103,0.22055674518201285,1.0462843699336473,1.0,0.0004556400000000002,1.0125175824175825,0.04640395804456469,0.041666666666666664,0.01236282967817139,0.1347091126289571
Indomie Kari Ayam,"Djarum, Good Day",0.2108,0.0467,0.0103,0.04886148007590133,1.0462843699336475,1.0,0.0004556400000000002,1.002272518703242,0.05605282970588382,0.041666666666666664,0.002267366071437464,0.1347091126289571
Djarum,"Indomie Kari Ayam, Good Day",0.2128,0.0464,0.0103,0.048402255639097745,1.0431520611874514,1.0,0.00042608000000000056,1.0021040987654322,0.052549530349672496,0.0413820811570912,0.0020996808295907594,0.1351925071298937
Good Day,"Indomie Kari Ayam, Djarum",0.2124,0.0495,0.0103,0.04849340866290019,0.979664821472731,1.0,-0.0002138000000000001,0.9989421078673923,-0.0256783504362197,0.04093799682034976,-0.0010590124535505676,0.1282871083718541
"Indomie Kari Ayam, Molto",Good Day,0.0482,0.2124,0.0111,0.23029045643153528,1.084230020864102,1.0,0.0008623199999999998,1.0232431266846362,0.08162059937643042,0.04448897795591183,0.022715155448876687,0.1412751717185925
"Indomie Kari Ayam, Good Day",Molto,0.0464,0.2143,0.0111,0.2392241379310345,1.1163048900188264,1.0,0.0011564800000000014,1.0327614730878187,0.10925690791462615,0.04447115384615385,0.0317222068614414,0.14551034241395402
"Molto, Good Day",Indomie Kari Ayam,0.0493,0.2108,0.0111,0.22515212981744426,1.0680841072933789,1.0,0.0007075600000000012,1.0185225130890052,0.06704969406136978,0.04457831325301205,0.018185668800613623,0.13890433815350392
Indomie Kari Ayam,"Molto, Good Day",0.2108,0.0493,0.0111,0.052656546489563576,1.0680841072933789,1.0,0.0007075600000000012,1.003543114672008,0.08077058305137386,0.04457831325301205,0.0035306053324535387,0.13890433815350392
Molto,"Indomie Kari Ayam, Good Day",0.2143,0.0464,0.0111,0.051796546896873547,1.1163048900188266,1.0,0.0011564800000000014,1.0056913385826771,0.13260454039377306,0.04447115384615385,0.00565913055460733,0.14551034241395402
Good Day,"Indomie Kari Ayam, Molto",0.2124,0.0482,0.0111,0.05225988700564972,1.084230020864102,1.0,0.0008623199999999998,1.0042837555886737,0.09863698131854555,0.04448897795591183,0.004265483300745663,0.1412751717185925
"Aqua, Good Day",Indomie Kari Ayam,0.0452,0.2108,0.0108,0.23893805309734517,1.1334822253194743,1.0,0.0012718400000000015,1.036972093023256,0.1233378330152525,0.04404567699836868,0.03565389393986972,0.14508572484089272
"Indomie Kari Ayam, Good Day",Aqua,0.0464,0.2121,0.0108,0.2327586206896552,1.097400380432132,1.0,0.0009585600000000007,1.0269258426966295,0.09307419835943333,0.04360113039967703,0.026219851110109382,0.14183899917085305
"Aqua, Indomie Kari Ayam",Good Day,0.0498,0.2124,0.0108,0.2168674698795181,1.0210332856851134,1.0,0.0002224800000000006,1.0057046153846154,0.02167964639023369,0.04295942720763723,0.005672257338138775,0.13385746375331836
Good Day,"Aqua, Indomie Kari Ayam",0.2124,0.0498,0.0108,0.05084745762711865,1.0210332856851134,1.0,0.0002224800000000006,1.0011035714285714,0.02615540883697315,0.04295942720763723,0.001102354901198327,0.13385746375331836
Aqua,"Indomie Kari Ayam, Good Day",0.2121,0.0464,0.0108,0.05091937765205092,1.097400380432132,1.0,0.0009585600000000007,1.0047618479880775,0.11264824921380329,0.04360113039967703,0.004739280255925887,0.14183899917085305
Indomie Kari Ayam,"Aqua, Good Day",0.2108,0.0452,0.0108,0.05123339658444023,1.1334822253194743,1.0,0.0012718400000000015,1.0063592000000001,0.1492181487113065,0.04404567699836868,0.006319016112735898,0.14508572484089272
"Aqua, Djarum",Indomie Kari Ayam,0.0469,0.2108,0.0123,0.2622601279317697,1.2441182539457767,1.0,0.002413480000000001,1.0697537572254336,0.20587334611149075,0.05012224938875306,0.06520543326377311,0.16030463702091333
"Aqua, Indomie Kari Ayam",Djarum,0.0498,0.2128,0.0123,0.24698795180722893,1.1606576682670533,1.0,0.0017025600000000005,1.0454016,0.1456740814514018,0.04914103076308429,0.0434298168282888,0.1523943518434641
"Indomie Kari Ayam, Djarum",Aqua,0.0495,0.2121,0.0123,0.24848484848484848,1.1715457260011715,1.0,0.0018010499999999985,1.0484153225806452,0.15405242426963972,0.049338146811071,0.04617952593584016,0.15323818096095324
Aqua,"Indomie Kari Ayam, Djarum",0.2121,0.0495,0.0123,0.05799151343705799,1.1715457260011715,1.0,0.0018010499999999985,1.0090142642642643,0.18584443364423472,0.049338146811071,0.008933733232044173,0.15323818096095324
Djarum,"Aqua, Indomie Kari Ayam",0.2128,0.0498,0.0123,0.057800751879699255,1.1606576682670533,1.0,0.0017025600000000005,1.0084915710723192,0.17583779496331556,0.04914103076308429,0.008420071437275582,0.1523943518434641
Indomie Kari Ayam,"Aqua, Djarum",0.2108,0.0469,0.0123,0.05834914611005693,1.244118253945777,1.0,0.002413480000000001,1.012158589420655,0.24862884716024053,0.05012224938875306,0.012012533952425701,0.16030463702091333
Indomie Kari Ayam,Beras,0.2108,0.2092,0.0458,0.2172675521821632,1.0385638249625393,1.0,0.0017006400000000033,1.0103069090909091,0.04705002246484758,0.12239444147514698,0.010201760473145178,0.21809840324213323
Beras,Indomie Kari Ayam,0.2092,0.2108,0.0458,0.21892925430210325,1.0385638249625393,1.0,0.0017006400000000033,1.0104078335373319,0.04695482767989089,0.12239444147514698,0.010300626333126282,0.21809840324213323
Aqua,Beras,0.2121,0.2092,0.0473,0.223008015087223,1.066003896210435,1.0,0.002928680000000003,1.0177711165048544,0.07858500410677681,0.1264705882352941,0.01746081826912369,0.22455372073672814
Beras,Aqua,0.2092,0.2121,0.0473,0.2260994263862333,1.066003896210435,1.0,0.002928680000000003,1.0180894379246448,0.07829681934209591,0.1264705882352941,0.017768024351102012,0.22455372073672814
Beras,Roma Kelapa,0.2092,0.2093,0.0461,0.22036328871892927,1.0528585223073543,1.0,0.002314440000000001,1.0141903126916003,0.06348605492447312,0.12379162191192268,0.013991765168748267,0.2203106457928139
Roma Kelapa,Beras,0.2093,0.2092,0.0461,0.22025800286669853,1.0528585223073543,1.0,0.002314440000000001,1.0141816176470588,0.06349408401956916,0.12379162191192268,0.013983311667549988,0.2203106457928139
Beras,Good Day,0.2092,0.2124,0.0461,0.22036328871892927,1.0374919431211358,1.0,0.0016659200000000013,1.0102141017780504,0.04569688072267084,0.12276964047936087,0.010110828744196627,0.21870330160993545
Good Day,Beras,0.2124,0.2092,0.0461,0.21704331450094164,1.037491943121136,1.0,0.0016659200000000013,1.0100175586289837,0.0458825460582632,0.12276964047936087,0.009918202454402681,0.21870330160993545
Molto,Beras,0.2143,0.2092,0.046,0.21465235650956604,1.0260628896250767,1.0,0.0011684399999999998,1.0069426024955437,0.03232896724604478,0.12185430463576159,0.00689473509049829,0.21726881687810998
Beras,Molto,0.2092,0.2143,0.046,0.2198852772466539,1.0260628896250765,1.0,0.0011684399999999998,1.0071595588235296,0.03212047238899518,0.12185430463576159,0.007108663925994551,0.21726881687810998
Beras,Djarum,0.2092,0.2128,0.0467,0.22323135755258125,1.0490195373711526,1.0,0.002182240000000002,1.0134291692307693,0.05909067769715763,0.1244337863042899,0.013251216403177415,0.22134312238531317
Djarum,Beras,0.2128,0.2092,0.0467,0.21945488721804512,1.0490195373711526,1.0,0.002182240000000002,1.0131381095725465,0.05936090945491901,0.1244337863042899,0.012967738009667587,0.22134312238531317
Beras,Momogi,0.2092,0.2144,0.0443,0.21175908221797324,0.9876822864644274,1.0,-0.000552480000000001,0.9966496058217101,-0.01552567773090402,0.11679409438439231,-0.003361657054514727,0.20919110827316573
Momogi,Beras,0.2144,0.2092,0.0443,0.2066231343283582,0.9876822864644274,1.0,-0.000552480000000001,0.9967520282186948,-0.01562683851814309,0.11679409438439231,-0.003258555477544018,0.20919110827316573
Pocari Sweat,Beras,0.2093,0.2092,0.0468,0.22360248447204967,1.0688455280690712,1.0,0.00301444,1.0185503999999999,0.08146087152031253,0.12590799031476999,0.01821254991407394,0.22365592674845314
Beras,Pocari Sweat,0.2092,0.2093,0.0468,0.2237093690248566,1.0688455280690712,1.0,0.00301444,1.0185618226600985,0.081450570449053,0.12590799031476999,0.01822356016802402,0.22365592674845314
Beras,Taro,0.2092,0.2098,0.0453,0.21653919694072657,1.0321220063904986,1.0,0.0014098400000000025,1.0086018303843807,0.03935545751863881,0.12122023013112122,0.008528469932582362,0.2162295603388094
Taro,Beras,0.2098,0.2092,0.0453,0.21591992373689228,1.0321220063904986,1.0,0.0014098400000000025,1.0085704559270516,0.03938534017430976,0.12122023013112122,0.00849762738605499,0.2162295603388094
Beras,Big Babol,0.2092,0.2101,0.0482,0.2304015296367113,1.0966279373475072,1.0,0.00424708,1.0263793788819875,0.11142348627473204,0.1298841282673134,0.025701392121422053,0.22990804706490492
Big Babol,Beras,0.2101,0.2092,0.0482,0.22941456449309852,1.0966279373475072,1.0,0.00424708,1.0262327362569486,0.11155044049380691,0.1298841282673134,0.02556217057802039,0.22990804706490492
"Indomie Kari Ayam, Beras",Good Day,0.0458,0.2124,0.0105,0.2292576419213974,1.0793674290084623,1.0,0.0007720799999999996,1.021871954674221,0.07706081384555495,0.0423899878885749,0.021403811479681796,0.13934633508499247
"Indomie Kari Ayam, Good Day",Beras,0.0464,0.2092,0.0105,0.22629310344827588,1.0817069954506495,1.0,0.0007931200000000013,1.022092479108635,0.07921061041866424,0.04283965728274174,0.021614951249716602,0.13824215401859302
"Beras, Good Day",Indomie Kari Ayam,0.0461,0.2108,0.0105,0.227765726681128,1.0804825743886528,1.0,0.0007821200000000007,1.0219696629213482,0.07808745051642636,0.04261363636363637,0.021497372885362395,0.13878798668022244
Indomie Kari Ayam,"Beras, Good Day",0.2108,0.0461,0.0105,0.0498102466793169,1.0804825743886528,1.0,0.0007821200000000007,1.0039047428856716,0.09438370381097202,0.04261363636363637,0.003889555172782152,0.13878798668022244
Beras,"Indomie Kari Ayam, Good Day",0.2092,0.0464,0.0105,0.05019120458891014,1.0817069954506495,1.0,0.0007931200000000013,1.003991545042778,0.0955174988558905,0.04283965728274174,0.003975675953135636,0.13824215401859302
Good Day,"Indomie Kari Ayam, Beras",0.2124,0.0458,0.0105,0.04943502824858757,1.0793674290084623,1.0,0.0007720799999999996,1.003824071322437,0.09336138721613577,0.0423899878885749,0.003809503509314161,0.13934633508499247
"Indomie Kari Ayam, Beras",Big Babol,0.0458,0.2101,0.0111,0.2423580786026201,1.1535367853527847,1.0,0.0014774200000000001,1.0425769452449567,0.1394895209609106,0.04534313725490196,0.040838180279301285,0.14759503168588883
"Indomie Kari Ayam, Big Babol",Beras,0.0479,0.2092,0.0111,0.23173277661795408,1.1077092572559946,1.0,0.0010793200000000017,1.029329347826087,0.10212796558768637,0.0451219512195122,0.028493647721236828,0.1423960250202581
"Beras, Big Babol",Indomie Kari Ayam,0.0482,0.2108,0.0111,0.23029045643153528,1.0924594707378334,1.0,0.0009394400000000015,1.0253218328840972,0.0889201872601748,0.04477611940298507,0.024696472923891658,0.14147350146054943
Indomie Kari Ayam,"Beras, Big Babol",0.2108,0.0482,0.0111,0.052656546489563576,1.0924594707378334,1.0,0.0009394400000000015,1.0047042563845767,0.10724054008392596,0.04477611940298507,0.004682229974326093,0.14147350146054943
Beras,"Indomie Kari Ayam, Big Babol",0.2092,0.0479,0.0111,0.05305927342256214,1.1077092572559946,1.0,0.0010793200000000017,1.005448359414437,0.12295907440065273,0.0451219512195122,0.005418835650207062,0.1423960250202581
Big Babol,"Indomie Kari Ayam, Beras",0.2101,0.0458,0.0111,0.05283198476915754,1.1535367853527847,1.0,0.0014774200000000001,1.0074242211055278,0.1685034825938738,0.04534313725490196,0.007369508246863908,0.14759503168588883
"Indomie Kari Ayam, Beras",Molto,0.0458,0.2143,0.011,0.24017467248908295,1.1207404222542368,1.0,0.00118506,1.034053448275862,0.11290371753587011,0.04415897230028101,0.032932000113380364,0.1457522919141635
"Indomie Kari Ayam, Molto",Beras,0.0482,0.2092,0.011,0.22821576763485477,1.0908975508358258,1.0,0.0009165600000000003,1.0246387096774192,0.08754321954574111,0.04464285714285714,0.024046241318733903,0.1403985147925708
"Molto, Beras",Indomie Kari Ayam,0.046,0.2108,0.011,0.23913043478260868,1.1343948519099083,1.0,0.0013032000000000009,1.0372342857142858,0.1241852487135507,0.04475183075671278,0.03589766191410122,0.14565629898523225
Indomie Kari Ayam,"Molto, Beras",0.2108,0.046,0.011,0.05218216318785579,1.1343948519099085,1.0,0.0013032000000000009,1.0065225225225225,0.15011749527715074,0.04475183075671278,0.006480254913894959,0.14565629898523225
Beras,"Indomie Kari Ayam, Molto",0.2092,0.0482,0.011,0.052581261950286805,1.0908975508358258,1.0,0.0009165600000000003,1.0046244197780019,0.10536625741481588,0.04464285714285714,0.004603132958906078,0.1403985147925708
Molto,"Indomie Kari Ayam, Beras",0.2143,0.0458,0.011,0.05132991133924405,1.1207404222542368,1.0,0.00118506,1.0058291195277915,0.13711687319934743,0.04415897230028101,0.0057953378109872646,0.1457522919141635
"Indomie Kari Ayam, Beras",Djarum,0.0458,0.2128,0.0108,0.23580786026200876,1.1081196440883871,1.0,0.0010537600000000008,1.0301074285714287,0.10225358454241294,0.04358353510895884,0.02922746476373065,0.14327986998062844
"Indomie Kari Ayam, Djarum",Beras,0.0495,0.2092,0.0108,0.21818181818181817,1.0429341213280028,1.0,0.00044459999999999986,1.0114883720930232,0.04331053831316849,0.043565954013715213,0.011357888444383124,0.13490352859377716
"Beras, Djarum",Indomie Kari Ayam,0.0467,0.2108,0.0108,0.23126338329764456,1.0970748733284847,1.0,0.0009556400000000007,1.0266194986072423,0.09281987326674208,0.04377786785569518,0.025929274325449288,0.14124838994104238
Indomie Kari Ayam,"Beras, Djarum",0.2108,0.0467,0.0108,0.05123339658444023,1.0970748733284847,1.0,0.0009556400000000007,1.0047782,0.11212010287022965,0.04377786785569518,0.004755477377992483,0.14124838994104238
Beras,"Indomie Kari Ayam, Djarum",0.2092,0.0495,0.0108,0.051625239005736144,1.0429341213280028,1.0,0.00044459999999999986,1.0022409274193549,0.05205698870342267,0.043565954013715213,0.0022359168918844206,0.13490352859377716
Djarum,"Indomie Kari Ayam, Beras",0.2128,0.0458,0.0108,0.050751879699248124,1.108119644088387,1.0,0.0010537600000000008,1.0052166336633663,0.12394610057211691,0.04358353510895884,0.005189561621513439,0.14327986998062844
"Aqua, Beras",Indomie Kari Ayam,0.0473,0.2108,0.0111,0.2346723044397463,1.1132462259950016,1.0,0.0011291600000000006,1.0311922651933703,0.10677666225057855,0.04493927125506073,0.030248738519698816,0.14366442546465494
"Aqua, Indomie Kari Ayam",Beras,0.0498,0.2092,0.0111,0.22289156626506026,1.0654472574811675,1.0,0.0006818400000000013,1.0176186046511628,0.06464641867714917,0.04477611940298507,0.017313563815200137,0.1379754198438112
"Indomie Kari Ayam, Beras",Aqua,0.0458,0.2121,0.0111,0.2423580786026201,1.1426594936474308,1.0,0.0013858199999999994,1.039937175792507,0.1308411744379046,0.04497568881685575,0.03840345044119823,0.1473459417058362
Aqua,"Indomie Kari Ayam, Beras",0.2121,0.0458,0.0111,0.05233380480905234,1.142659493647431,1.0,0.0013858199999999994,1.0068946268656718,0.15845748019881786,0.04497568881685575,0.006847416484020473,0.1473459417058362
Beras,"Aqua, Indomie Kari Ayam",0.2092,0.0498,0.0111,0.05305927342256214,1.0654472574811675,1.0,0.0006818400000000013,1.0034418980312974,0.07767707008981682,0.04477611940298507,0.003430092004380283,0.1379754198438112
Indomie Kari Ayam,"Aqua, Beras",0.2108,0.0473,0.0111,0.052656546489563576,1.1132462259950016,1.0,0.0011291600000000006,1.0056542814221332,0.12889777765601393,0.04493927125506073,0.005622490279798021,0.14366442546465494
"Aqua, Beras",Big Babol,0.0473,0.2101,0.0115,0.2431289640591966,1.1572059212717591,1.0,0.0015622699999999993,1.0436388268156425,0.14259427439633804,0.04676697844652297,0.04181410818989313,0.1489324020676754
"Aqua, Big Babol",Beras,0.0492,0.2092,0.0115,0.23373983739837398,1.1173032380419405,1.0,0.0012073599999999993,1.0320254641909814,0.11042051544694621,0.04657756176589712,0.031031660847716216,0.14435557835501872
"Beras, Big Babol",Aqua,0.0482,0.2121,0.0115,0.23858921161825725,1.1248902009347348,1.0,0.00127678,1.0347896457765668,0.11664671971641832,0.046221864951768485,0.03362001728424576,0.14640445965165572
