support,itemsets
0.2108,frozenset({'Indomie Kari Ayam'})
0.2092,frozenset({'Beras'})
0.2088,frozenset({'Nabati Keju'})
0.2074,frozenset({'Indomie Goreng'})
0.205,frozenset({'Lifebuoy'})
0.2124,frozenset({'Good Day'})
0.2121,frozenset({'Aqua'})
0.2093,frozenset({'Roma Kelapa'})
0.2057,frozenset({'Yupi'})
0.2028,frozenset({'Pantene'})
0.2143,frozenset({'Molto'})
0.2098,frozenset({'Taro'})
0.2038,frozenset({'Teh Kotak'})
0.2007,frozenset({'Beng Beng'})
0.2144,frozenset({'Momogi'})
0.2101,frozenset({'Big Babol'})
0.209,frozenset({'Biskuat'})
0.2082,frozenset({'Sun Light Jeruk Nipis'})
0.2046,frozenset({'Torabika'})
0.2093,frozenset({'Pocari Sweat'})
0.2079,frozenset({'Gula Pasir'})
0.2055,frozenset({'Bimoli'})
0.2037,frozenset({'Tango'})
0.1998,frozenset({'Pepsodent'})
0.2079,frozenset({'Kwaci'})
0.2025,frozenset({'Sukro'})
0.2128,frozenset({'Djarum'})
0.2046,frozenset({'Mie Gemez'})
0.209,frozenset({'Kapal Api'})
0.0482,"frozenset({'Indomie Kari Ayam', 'Molto'})"
0.0498,"frozenset({'Aqua', 'Indomie Kari Ayam'})"
0.0457,"frozenset({'Indomie Kari Ayam', 'Momogi'})"
0.0464,"frozenset({'Indomie Kari Ayam', 'Good Day'})"
0.0495,"frozenset({'Indomie Kari Ayam', 'Djarum'})"
0.0115,"frozenset({'Indomie Kari Ayam', 'Djarum', 'Molto'})"
0.011,"frozenset({'Aqua', 'Molto', 'Indomie Kari Ayam'})"
0.0114,"frozenset({'Indomie Kari Ayam', 'Djarum', 'Momogi'})"
0.0102,"frozenset({'Indomie Kari Ayam', 'Momogi', 'Good Day'})"
0.0103,"frozenset({'Indomie Kari Ayam', 'Djarum', 'Good Day'})"
0.0111,"frozenset({'Indomie Kari Ayam', 'Molto', 'Good Day'})"
0.0108,"frozenset({'Good Day', 'Aqua', 'Indomie Kari Ayam'})"
0.0123,"frozenset({'Aqua', 'Djarum', 'Indomie Kari Ayam'})"
0.0458,"frozenset({'Indomie Kari Ayam', 'Beras'})"
0.0473,"frozenset({'Aqua', 'Beras'})"
0.0461,"frozenset({'Beras', 'Roma Kelapa'})"
0.0461,"frozenset({'Beras', 'Good Day'})"
0.046,"frozenset({'Molto', 'Beras'})"
0.0467,"frozenset({'Beras', 'Djarum'})"
0.0443,"frozenset({'Beras', 'Momogi'})"
0.0468,"frozenset({'Pocari Sweat', 'Beras'})"
0.0453,"frozenset({'Beras', 'Taro'})"
0.0482,"frozenset({'Beras', 'Big Babol'})"
0.0105,"frozenset({'Indomie Kari Ayam', 'Beras', 'Good Day'})"
0.0111,"frozenset({'Indomie Kari Ayam', 'Beras', 'Big Babol'})"
0.011,"frozenset({'Indomie Kari Ayam', 'Beras', 'Molto'})"
0.0108,"frozenset({'Indomie Kari Ayam', 'Beras', 'Djarum'})"
0.0111,"frozenset({'Aqua', 'Beras', 'Indomie Kari Ayam'})"
0.0115,"frozenset({'Aqua', 'Beras', 'Big Babol'})"
0.0104,"frozenset({'Aqua', 'Beras', 'Roma Kelapa'})"
0.0114,"frozenset({'Beras', 'Roma Kelapa', 'Big Babol'})"
0.0103,"frozenset({'Djarum', 'Beras', 'Roma Kelapa'})"
0.0109,"frozenset({'Pocari Sweat', 'Beras', 'Roma Kelapa'})"
0.0108,"frozenset({'Aqua', 'Beras', 'Good Day'})"
0.0107,"frozenset({'Good Day', 'Beras', 'Roma Kelapa'})"
0.0119,"frozenset({'Beras', 'Good Day', 'Big Babol'})"
0.0101,"frozenset({'Good Day', 'Beras', 'Djarum'})"
0.0106,"frozenset({'Pocari Sweat', 'Beras', 'Good Day'})"
0.0103,"frozenset({'Molto', 'Beras', 'Good Day'})"
0.0102,"frozenset({'Molto', 'Beras', 'Roma Kelapa'})"
0.0102,"frozenset({'Molto', 'Beras', 'Djarum'})"
0.01,"frozenset({'Molto', 'Beras', 'Big Babol'})"
0.0116,"frozenset({'Pocari Sweat', 'Molto', 'Beras'})"
0.0111,"frozenset({'Aqua', 'Beras', 'Molto'})"
0.0109,"frozenset({'Beras', 'Djarum', 'Big Babol'})"
0.0114,"frozenset({'Pocari Sweat', 'Beras', 'Djarum'})"
0.0103,"frozenset({'Aqua', 'Beras', 'Djarum'})"
0.0106,"frozenset({'Beras', 'Momogi', 'Djarum'})"
0.0103,"frozenset({'Beras', 'Momogi', 'Good Day'})"
0.0112,"frozenset({'Beras', 'Momogi', 'Big Babol'})"
0.012,"frozenset({'Pocari Sweat', 'Aqua', 'Beras'})"
0.0116,"frozenset({'Pocari Sweat', 'Beras', 'Big Babol'})"
0.0119,"frozenset({'Pocari Sweat', 'Beras', 'Taro'})"
0.0103,"frozenset({'Indomie Kari Ayam', 'Beras', 'Taro'})"
0.0129,"frozenset({'Beras', 'Taro', 'Big Babol'})"
0.0108,"frozenset({'Djarum', 'Beras', 'Taro'})"
0.0101,"frozenset({'Beras', 'Roma Kelapa', 'Taro'})"
0.0493,"frozenset({'Indomie Kari Ayam', 'Nabati Keju'})"
0.0467,"frozenset({'Beras', 'Nabati Keju'})"
0.0492,"frozenset({'Big Babol', 'Nabati Keju'})"
0.0467,"frozenset({'Aqua', 'Nabati Keju'})"
0.0462,"frozenset({'Momogi', 'Nabati Keju'})"
0.046,"frozenset({'Biskuat', 'Nabati Keju'})"
0.0431,"frozenset({'Taro', 'Nabati Keju'})"
0.0497,"frozenset({'Molto', 'Nabati Keju'})"
0.046,"frozenset({'Djarum', 'Nabati Keju'})"
0.0473,"frozenset({'Kapal Api', 'Nabati Keju'})"
0.0487,"frozenset({'Good Day', 'Nabati Keju'})"
0.0451,"frozenset({'Pocari Sweat', 'Nabati Keju'})"
0.0455,"frozenset({'Roma Kelapa', 'Nabati Keju'})"
0.0113,"frozenset({'Indomie Kari Ayam', 'Molto', 'Nabati Keju'})"
0.0112,"frozenset({'Indomie Kari Ayam', 'Beras', 'Nabati Keju'})"
0.0111,"frozenset({'Kapal Api', 'Beras', 'Nabati Keju'})"
0.0113,"frozenset({'Molto', 'Beras', 'Nabati Keju'})"
0.013,"frozenset({'Beras', 'Good Day', 'Nabati Keju'})"
0.0114,"frozenset({'Big Babol', 'Beras', 'Nabati Keju'})"
0.0111,"frozenset({'Aqua', 'Beras', 'Nabati Keju'})"
0.0123,"frozenset({'Molto', 'Big Babol', 'Nabati Keju'})"
0.0126,"frozenset({'Indomie Kari Ayam', 'Big Babol', 'Nabati Keju'})"
0.0107,"frozenset({'Aqua', 'Big Babol', 'Nabati Keju'})"
0.0107,"frozenset({'Aqua', 'Molto', 'Nabati Keju'})"
0.0119,"frozenset({'Kapal Api', 'Aqua', 'Nabati Keju'})"
0.0102,"frozenset({'Aqua', 'Indomie Kari Ayam', 'Nabati Keju'})"
0.0127,"frozenset({'Big Babol', 'Momogi', 'Nabati Keju'})"
0.011,"frozenset({'Aqua', 'Momogi', 'Nabati Keju'})"
0.0102,"frozenset({'Kapal Api', 'Momogi', 'Nabati Keju'})"
0.0109,"frozenset({'Indomie Kari Ayam', 'Momogi', 'Nabati Keju'})"
0.0118,"frozenset({'Molto', 'Momogi', 'Nabati Keju'})"
0.0108,"frozenset({'Momogi', 'Good Day', 'Nabati Keju'})"
0.0115,"frozenset({'Big Babol', 'Biskuat', 'Nabati Keju'})"
0.0113,"frozenset({'Momogi', 'Biskuat', 'Nabati Keju'})"
0.011,"frozenset({'Aqua', 'Biskuat', 'Nabati Keju'})"
0.0106,"frozenset({'Kapal Api', 'Biskuat', 'Nabati Keju'})"
0.0106,"frozenset({'Biskuat', 'Good Day', 'Nabati Keju'})"
0.0106,"frozenset({'Indomie Kari Ayam', 'Biskuat', 'Nabati Keju'})"
0.0107,"frozenset({'Molto', 'Biskuat', 'Nabati Keju'})"
0.0114,"frozenset({'Beras', 'Biskuat', 'Nabati Keju'})"
0.0121,"frozenset({'Djarum', 'Biskuat', 'Nabati Keju'})"
0.0103,"frozenset({'Aqua', 'Taro', 'Nabati Keju'})"
0.0101,"frozenset({'Big Babol', 'Taro', 'Nabati Keju'})"
0.0115,"frozenset({'Indomie Kari Ayam', 'Taro', 'Nabati Keju'})"
0.0107,"frozenset({'Beras', 'Djarum', 'Nabati Keju'})"
0.0101,"frozenset({'Djarum', 'Momogi', 'Nabati Keju'})"
0.0101,"frozenset({'Kapal Api', 'Djarum', 'Nabati Keju'})"
0.0115,"frozenset({'Indomie Kari Ayam', 'Djarum', 'Nabati Keju'})"
0.01,"frozenset({'Djarum', 'Good Day', 'Nabati Keju'})"
0.0106,"frozenset({'Aqua', 'Djarum', 'Nabati Keju'})"
0.0117,"frozenset({'Kapal Api', 'Indomie Kari Ayam', 'Nabati Keju'})"
0.0107,"frozenset({'Kapal Api', 'Good Day', 'Nabati Keju'})"
0.0115,"frozenset({'Kapal Api', 'Nabati Keju', 'Big Babol'})"
0.0115,"frozenset({'Kapal Api', 'Molto', 'Nabati Keju'})"
0.0114,"frozenset({'Indomie Kari Ayam', 'Good Day', 'Nabati Keju'})"
0.0121,"frozenset({'Molto', 'Good Day', 'Nabati Keju'})"
0.012,"frozenset({'Big Babol', 'Good Day', 'Nabati Keju'})"
0.0117,"frozenset({'Pocari Sweat', 'Good Day', 'Nabati Keju'})"
0.0112,"frozenset({'Pocari Sweat', 'Biskuat', 'Nabati Keju'})"
0.0111,"frozenset({'Kapal Api', 'Pocari Sweat', 'Nabati Keju'})"
0.0109,"frozenset({'Pocari Sweat', 'Indomie Kari Ayam', 'Nabati Keju'})"
0.0123,"frozenset({'Pocari Sweat', 'Molto', 'Nabati Keju'})"
0.0116,"frozenset({'Pocari Sweat', 'Aqua', 'Nabati Keju'})"
0.0109,"frozenset({'Pocari Sweat', 'Big Babol', 'Nabati Keju'})"
0.0117,"frozenset({'Pocari Sweat', 'Beras', 'Nabati Keju'})"
0.0112,"frozenset({'Pocari Sweat', 'Roma Kelapa', 'Nabati Keju'})"
0.0109,"frozenset({'Indomie Kari Ayam', 'Roma Kelapa', 'Nabati Keju'})"
0.0121,"frozenset({'Big Babol', 'Roma Kelapa', 'Nabati Keju'})"
0.0112,"frozenset({'Molto', 'Roma Kelapa', 'Nabati Keju'})"
0.0101,"frozenset({'Biskuat', 'Roma Kelapa', 'Nabati Keju'})"
0.0101,"frozenset({'Djarum', 'Roma Kelapa', 'Nabati Keju'})"
0.0492,"frozenset({'Indomie Goreng', 'Beras'})"
0.0474,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng'})"
0.0441,"frozenset({'Indomie Goreng', 'Nabati Keju'})"
0.0479,"frozenset({'Aqua', 'Indomie Goreng'})"
0.046,"frozenset({'Indomie Goreng', 'Good Day'})"
0.0449,"frozenset({'Indomie Goreng', 'Roma Kelapa'})"
0.0459,"frozenset({'Indomie Goreng', 'Biskuat'})"
0.0446,"frozenset({'Indomie Goreng', 'Big Babol'})"
0.0444,"frozenset({'Indomie Goreng', 'Momogi'})"
0.0438,"frozenset({'Indomie Goreng', 'Sun Light Jeruk Nipis'})"
0.0426,"frozenset({'Indomie Goreng', 'Taro'})"
0.0443,"frozenset({'Pocari Sweat', 'Indomie Goreng'})"
0.0465,"frozenset({'Kwaci', 'Indomie Goreng'})"
0.0459,"frozenset({'Indomie Goreng', 'Gula Pasir'})"
0.046,"frozenset({'Indomie Goreng', 'Kapal Api'})"
0.047,"frozenset({'Molto', 'Indomie Goreng'})"
0.0461,"frozenset({'Indomie Goreng', 'Djarum'})"
0.0118,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Beras'})"
0.0124,"frozenset({'Aqua', 'Indomie Goreng', 'Indomie Kari Ayam'})"
0.012,"frozenset({'Indomie Goreng', 'Beras', 'Nabati Keju'})"
0.0114,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Nabati Keju'})"
0.0105,"frozenset({'Nabati Keju', 'Indomie Goreng', 'Big Babol'})"
0.0102,"frozenset({'Aqua', 'Indomie Goreng', 'Nabati Keju'})"
0.0114,"frozenset({'Indomie Goreng', 'Good Day', 'Nabati Keju'})"
0.01,"frozenset({'Molto', 'Indomie Goreng', 'Nabati Keju'})"
0.011,"frozenset({'Nabati Keju', 'Indomie Goreng', 'Kapal Api'})"
0.0105,"frozenset({'Nabati Keju', 'Indomie Goreng', 'Gula Pasir'})"
0.0102,"frozenset({'Aqua', 'Indomie Goreng', 'Beras'})"
0.0111,"frozenset({'Good Day', 'Indomie Goreng', 'Beras'})"
0.0104,"frozenset({'Aqua', 'Indomie Goreng', 'Good Day'})"
0.0109,"frozenset({'Kwaci', 'Indomie Goreng', 'Good Day'})"
0.011,"frozenset({'Molto', 'Indomie Goreng', 'Good Day'})"
0.0104,"frozenset({'Good Day', 'Indomie Goreng', 'Djarum'})"
0.0103,"frozenset({'Indomie Goreng', 'Good Day', 'Kapal Api'})"
0.0111,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Good Day'})"
0.0108,"frozenset({'Indomie Goreng', 'Roma Kelapa', 'Beras'})"
0.0109,"frozenset({'Indomie Goreng', 'Roma Kelapa', 'Gula Pasir'})"
0.0105,"frozenset({'Molto', 'Indomie Goreng', 'Roma Kelapa'})"
0.0101,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Roma Kelapa'})"
0.0105,"frozenset({'Kwaci', 'Indomie Goreng', 'Roma Kelapa'})"
0.0105,"frozenset({'Indomie Goreng', 'Biskuat', 'Roma Kelapa'})"
0.0117,"frozenset({'Aqua', 'Indomie Goreng', 'Biskuat'})"
0.0115,"frozenset({'Indomie Goreng', 'Biskuat', 'Beras'})"
0.0105,"frozenset({'Indomie Goreng', 'Biskuat', 'Kapal Api'})"
0.0101,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Biskuat'})"
0.0109,"frozenset({'Kwaci', 'Indomie Goreng', 'Biskuat'})"
0.0104,"frozenset({'Indomie Goreng', 'Biskuat', 'Gula Pasir'})"
0.0101,"frozenset({'Indomie Goreng', 'Biskuat', 'Djarum'})"
0.0123,"frozenset({'Aqua', 'Indomie Goreng', 'Big Babol'})"
0.0103,"frozenset({'Indomie Goreng', 'Biskuat', 'Big Babol'})"
0.011,"frozenset({'Indomie Goreng', 'Beras', 'Big Babol'})"
0.0106,"frozenset({'Molto', 'Indomie Goreng', 'Big Babol'})"
0.0102,"frozenset({'Kwaci', 'Indomie Goreng', 'Big Babol'})"
0.0111,"frozenset({'Indomie Goreng', 'Good Day', 'Big Babol'})"
0.0106,"frozenset({'Indomie Goreng', 'Djarum', 'Big Babol'})"
0.0105,"frozenset({'Big Babol', 'Indomie Goreng', 'Kapal Api'})"
0.0109,"frozenset({'Indomie Goreng', 'Momogi', 'Big Babol'})"
0.0109,"frozenset({'Indomie Goreng', 'Momogi', 'Biskuat'})"
0.0101,"frozenset({'Aqua', 'Indomie Goreng', 'Momogi'})"
0.011,"frozenset({'Indomie Goreng', 'Momogi', 'Good Day'})"
0.01,"frozenset({'Indomie Goreng', 'Momogi', 'Beras'})"
0.01,"frozenset({'Indomie Goreng', 'Momogi', 'Gula Pasir'})"
0.0109,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Momogi'})"
0.0102,"frozenset({'Indomie Goreng', 'Momogi', 'Sun Light Jeruk Nipis'})"
0.01,"frozenset({'Indomie Goreng', 'Sun Light Jeruk Nipis', 'Big Babol'})"
0.0104,"frozenset({'Indomie Goreng', 'Sun Light Jeruk Nipis', 'Kapal Api'})"
0.0109,"frozenset({'Indomie Goreng', 'Sun Light Jeruk Nipis', 'Beras'})"
0.0101,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Sun Light Jeruk Nipis'})"
0.0101,"frozenset({'Indomie Goreng', 'Sun Light Jeruk Nipis', 'Gula Pasir'})"
0.0111,"frozenset({'Kwaci', 'Indomie Goreng', 'Sun Light Jeruk Nipis'})"
0.0111,"frozenset({'Aqua', 'Indomie Goreng', 'Taro'})"
0.0109,"frozenset({'Indomie Goreng', 'Sun Light Jeruk Nipis', 'Taro'})"
0.0104,"frozenset({'Indomie Goreng', 'Biskuat', 'Taro'})"
0.0104,"frozenset({'Indomie Goreng', 'Beras', 'Taro'})"
0.01,"frozenset({'Djarum', 'Indomie Goreng', 'Taro'})"
0.0108,"frozenset({'Pocari Sweat', 'Indomie Goreng', 'Beras'})"
0.0104,"frozenset({'Pocari Sweat', 'Indomie Goreng', 'Big Babol'})"
0.0105,"frozenset({'Pocari Sweat', 'Indomie Goreng', 'Djarum'})"
0.0109,"frozenset({'Pocari Sweat', 'Indomie Goreng', 'Kapal Api'})"
0.0107,"frozenset({'Pocari Sweat', 'Molto', 'Indomie Goreng'})"
0.0106,"frozenset({'Pocari Sweat', 'Indomie Goreng', 'Kwaci'})"
0.0109,"frozenset({'Pocari Sweat', 'Indomie Kari Ayam', 'Indomie Goreng'})"
0.0109,"frozenset({'Pocari Sweat', 'Indomie Goreng', 'Good Day'})"
0.0113,"frozenset({'Kwaci', 'Indomie Goreng', 'Beras'})"
0.0107,"frozenset({'Kwaci', 'Molto', 'Indomie Goreng'})"
0.0105,"frozenset({'Kwaci', 'Aqua', 'Indomie Goreng'})"
0.0112,"frozenset({'Kwaci', 'Indomie Kari Ayam', 'Indomie Goreng'})"
0.0102,"frozenset({'Indomie Goreng', 'Good Day', 'Gula Pasir'})"
0.012,"frozenset({'Molto', 'Indomie Goreng', 'Gula Pasir'})"
0.0119,"frozenset({'Aqua', 'Indomie Goreng', 'Gula Pasir'})"
0.0121,"frozenset({'Indomie Goreng', 'Djarum', 'Gula Pasir'})"
0.0107,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Gula Pasir'})"
0.0106,"frozenset({'Kapal Api', 'Indomie Goreng', 'Gula Pasir'})"
0.0109,"frozenset({'Indomie Goreng', 'Beras', 'Gula Pasir'})"
0.0116,"frozenset({'Kwaci', 'Indomie Goreng', 'Kapal Api'})"
0.0111,"frozenset({'Indomie Goreng', 'Djarum', 'Kapal Api'})"
0.0101,"frozenset({'Molto', 'Indomie Goreng', 'Kapal Api'})"
0.0134,"frozenset({'Indomie Goreng', 'Beras', 'Kapal Api'})"
0.0104,"frozenset({'Aqua', 'Indomie Goreng', 'Kapal Api'})"
0.0115,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Kapal Api'})"
0.0126,"frozenset({'Molto', 'Indomie Goreng', 'Beras'})"
0.0116,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Molto'})"
0.0101,"frozenset({'Aqua', 'Indomie Goreng', 'Molto'})"
0.01,"frozenset({'Molto', 'Indomie Goreng', 'Djarum'})"
0.0109,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Djarum'})"
0.0115,"frozenset({'Djarum', 'Indomie Goreng', 'Beras'})"
0.0457,"frozenset({'Indomie Kari Ayam', 'Lifebuoy'})"
0.0454,"frozenset({'Lifebuoy', 'Nabati Keju'})"
0.0454,"frozenset({'Beras', 'Lifebuoy'})"
0.0434,"frozenset({'Indomie Goreng', 'Lifebuoy'})"
0.0455,"frozenset({'Bimoli', 'Lifebuoy'})"
0.0448,"frozenset({'Lifebuoy', 'Taro'})"
0.043,"frozenset({'Pocari Sweat', 'Lifebuoy'})"
0.0496,"frozenset({'Molto', 'Lifebuoy'})"
0.0459,"frozenset({'Djarum', 'Lifebuoy'})"
0.0429,"frozenset({'Kwaci', 'Lifebuoy'})"
0.0444,"frozenset({'Lifebuoy', 'Gula Pasir'})"
0.0448,"frozenset({'Lifebuoy', 'Roma Kelapa'})"
0.0461,"frozenset({'Lifebuoy', 'Momogi'})"
0.0456,"frozenset({'Lifebuoy', 'Big Babol'})"
0.0453,"frozenset({'Lifebuoy', 'Kapal Api'})"
0.0464,"frozenset({'Lifebuoy', 'Biskuat'})"
0.0447,"frozenset({'Lifebuoy', 'Sun Light Jeruk Nipis'})"
0.0462,"frozenset({'Lifebuoy', 'Good Day'})"
